,Time,Source,Text,Compound,Positive,Neutral,Negative,Tweets Ago
97,2018-09-29 09:07:08+00:00,BBCNews,"""Fair play to him"" 😆 https://t.co/gpyKB9tdG6",0.5719,0.61,0.39,0.0,-97
98,2018-09-29 07:34:18+00:00,BBCNews,RT @BBCBreaking: At least 384 people now known to have died after an earthquake and tsunami hit a coastal Indonesian city https://t.co/IprV…,-0.5574,0.0,0.847,0.153,-98
99,2018-09-29 07:31:21+00:00,BBCNews,Jefferson Airplane's Marty Balin dies aged 76 https://t.co/6pp9b23BoO,0.0,0.0,1.0,0.0,-99
100,2018-10-01 00:30:01+00:00,CBSNews,"The documentary ""Love, Gilda"" recalls the beloved comedian Gilda Radner's all-too-brief life https://t.co/XID3K6umIB https://t.co/48Wn32IuTD",0.7096,0.33,0.67,0.0,0
101,2018-09-30 23:59:51+00:00,CBSNews,"More than a year after Hurricane Maria made landfall, Puerto Rico still has a backlog of dead bodies – some of whic… https://t.co/0K6wWmyKDe",-0.6486,0.0,0.815,0.185,-1
102,2018-09-30 23:40:01+00:00,CBSNews,"Only about 20-percent of adults with hearing loss actually use hearing aids, but advances in technology and a new l… https://t.co/ItiWSn6rxy",-0.1655,0.0,0.92,0.08,-2
103,2018-09-30 23:20:01+00:00,CBSNews,"Sen. Amy Klobuchar says Kavanaugh's history of ""excessive drinking"" relevant to FBI investigation… https://t.co/vx6uaxfXGW",0.0,0.0,1.0,0.0,-3
104,2018-09-30 23:00:00+00:00,CBSNews,The FBI's investigation into Brett Kavanaugh's sexual assault allegation will be much different than his six prior… https://t.co/FZzhRaoSub,-0.5859,0.0,0.817,0.183,-4
105,2018-09-30 22:39:43+00:00,CBSNews,"Death toll from devastating Indonesia earthquake and tsunami surges to over 800, with officials fearing it will ris… https://t.co/V1pm1knLMY",-0.9169,0.0,0.573,0.427,-5
106,2018-09-30 22:09:44+00:00,CBSNews,"Tonight, @PaulMcCartney  is profiled for the first time on @60Minutes . He gets candid with @Sharyn_Alfonsi  about… https://t.co/BjBUA55bJn",0.0,0.0,1.0,0.0,-6
107,2018-09-30 21:39:37+00:00,CBSNews,"It was one of the deadliest natural disasters in American history. Now, its people are faced with the heart-wrenchi… https://t.co/y3zs3p1w3G",-0.2732,0.104,0.747,0.149,-7
108,2018-09-30 21:34:51+00:00,CBSNews,"RT @CBSThisMorning: He co-founded @Apple then set up his own academy, but is @SteveWoz’s new program misleading its students? 

A @CBSThisM…",-0.5499,0.0,0.843,0.157,-8
109,2018-09-30 21:09:48+00:00,CBSNews,"Dr. Christine Blasey Ford hasn't heard from FBI agents investigating Kavanaugh claims, despite multiple attempts to… https://t.co/cok4RDLysL",0.0,0.0,1.0,0.0,-9
110,2018-09-30 20:39:53+00:00,CBSNews,"Tonight, on the season premiere of @60Minutes : Jailed doctor who prescribed opioids says he's a scapegoat, victim'… https://t.co/M3KnEJQkrx",-0.7096,0.0,0.718,0.282,-10
